run_set,model,model_label,job_id,trace_id,status,reward,error,question_id,question_index,task
tf_bench_rerun,claude-opus-4-8,Opus 4.8,3077ca83-2ef4-4613-90e2-206dac3686ea,01eef835-eaa3-4e8d-a79a-7eedf40ef48c,completed,0.7309997154657678,,DBEVAL-V0-076,76,DragonTFBind
tf_bench_rerun,claude-opus-4-8,Opus 4.8,3077ca83-2ef4-4613-90e2-206dac3686ea,b7d09184-e45b-4321-8d97-e3f8d1879db4,completed,0.9387491677759294,,DBEVAL-V0-073,73,DragonTFBind
tf_bench_rerun,claude-opus-4-8,Opus 4.8,3077ca83-2ef4-4613-90e2-206dac3686ea,26759a13-ca7f-4ebb-b951-537060c9bf5f,completed,0.8123019883752539,,DBEVAL-V0-074,74,DragonTFBind
tf_bench_rerun,claude-opus-4-8,Opus 4.8,3077ca83-2ef4-4613-90e2-206dac3686ea,25b9a707-da8a-4699-872a-218a38bc62b7,completed,0.9041427348839164,,DBEVAL-V0-062,62,DragonTFBind
tf_bench_rerun,claude-opus-4-8,Opus 4.8,3077ca83-2ef4-4613-90e2-206dac3686ea,1daf4fc6-7ed2-4f3b-b2c9-031f6023fa38,completed,0.7297907222744278,,DBEVAL-V0-067,67,DragonTFBind
tf_bench_rerun,claude-opus-4-8,Opus 4.8,3077ca83-2ef4-4613-90e2-206dac3686ea,4a0a52b7-9279-487f-b6e1-f28b06453fa3,completed,0.4733876623760101,,DBEVAL-V0-070,70,DragonTFBind
tf_bench_rerun,claude-opus-4-8,Opus 4.8,3077ca83-2ef4-4613-90e2-206dac3686ea,b45d1411-0812-4112-bdc4-499bec07530b,completed,0.6342240482425557,,DBEVAL-V0-064,64,DragonTFBind
tf_bench_rerun,claude-opus-4-8,Opus 4.8,3077ca83-2ef4-4613-90e2-206dac3686ea,aa296d20-4097-41e6-b603-7839cc5851ea,completed,0.6867937685844878,,DBEVAL-V0-071,71,DragonTFBind
tf_bench_rerun,claude-opus-4-8,Opus 4.8,3077ca83-2ef4-4613-90e2-206dac3686ea,9d00764c-ae74-46fe-ac0f-7c20d626bd64,completed,0.8228114203998219,,DBEVAL-V0-063,63,DragonTFBind
tf_bench_rerun,claude-opus-4-8,Opus 4.8,3077ca83-2ef4-4613-90e2-206dac3686ea,226263a9-d1a8-4e36-8139-1643c666dbe0,completed,0.9562774981526984,,DBEVAL-V0-068,68,DragonTFBind
tf_bench_rerun,claude-opus-4-8,Opus 4.8,3077ca83-2ef4-4613-90e2-206dac3686ea,cee49e2f-24b9-4398-941e-919426ca6ef2,completed,0.8763958387526004,,DBEVAL-V0-065,65,DragonTFBind
tf_bench_rerun,claude-opus-4-8,Opus 4.8,3077ca83-2ef4-4613-90e2-206dac3686ea,f838e44d-136c-4a88-929d-90efcd52f943,completed,0.7003420474184091,,DBEVAL-V0-069,69,DragonTFBind
tf_bench_rerun,claude-opus-4-8,Opus 4.8,3077ca83-2ef4-4613-90e2-206dac3686ea,2ceee39c-aebf-46ee-a6ee-de8e4db11e3a,completed,0.9132660258954309,,DBEVAL-V0-066,66,DragonTFBind
tf_bench_rerun,claude-opus-4-8,Opus 4.8,3077ca83-2ef4-4613-90e2-206dac3686ea,12bd39d9-bbcd-4ba8-a1f8-97349af115e0,completed,0.4165053451145142,,DBEVAL-V0-061,61,DragonTFBind
