model,model_label,question_id,question_index,status,reward,trace_id,job_id,row_source,replacement_pass
claude-opus-4-8,Opus 4.8,DBEVAL-V0-041,41,completed,0.2179758308157099,b1d4c503-2ac0-458d-9e6c-21c9e8e83651,d0785f45-515b-4721-aa3c-d948dc5dd0f2,original_full_run_current_row,
claude-opus-4-8,Opus 4.8,DBEVAL-V0-042,42,completed,0.2748272884283247,d766c5c1-8ae2-4c60-948d-6279c52e3a30,d0785f45-515b-4721-aa3c-d948dc5dd0f2,original_full_run_current_row,
claude-opus-4-8,Opus 4.8,DBEVAL-V0-043,43,completed,0.0,b61c881c-cc7c-433e-a82b-4da9ca92b6a1,d0785f45-515b-4721-aa3c-d948dc5dd0f2,original_full_run_current_row,
claude-opus-4-8,Opus 4.8,DBEVAL-V0-044,44,completed,0.4124860646599777,99eb8f6b-27d3-4a0d-81a3-369972ba48fa,d0785f45-515b-4721-aa3c-d948dc5dd0f2,original_full_run_current_row,
claude-opus-4-8,Opus 4.8,DBEVAL-V0-045,45,completed,0.3450226244343891,fe87c6a2-ec47-49ad-bef1-92fb71f6b06c,d0785f45-515b-4721-aa3c-d948dc5dd0f2,original_full_run_current_row,
claude-opus-4-8,Opus 4.8,DBEVAL-V0-046,46,completed,0.0,13720c1a-ffda-424b-88ae-c9e9b144b76e,d0785f45-515b-4721-aa3c-d948dc5dd0f2,original_full_run_current_row,
claude-opus-4-8,Opus 4.8,DBEVAL-V0-047,47,completed,0.0,5ec43b6f-9f40-470e-bdfe-4d1028299c88,d0785f45-515b-4721-aa3c-d948dc5dd0f2,original_full_run_current_row,
claude-opus-4-8,Opus 4.8,DBEVAL-V0-048,48,completed,0.0,c37c2cfb-5971-4a52-b095-d730ab6ded19,d0785f45-515b-4721-aa3c-d948dc5dd0f2,original_full_run_current_row,
claude-opus-4-8,Opus 4.8,DBEVAL-V0-049,49,completed,0.256055900621118,dd4b6db1-e7be-4ce2-925e-f947d940c876,d0785f45-515b-4721-aa3c-d948dc5dd0f2,original_full_run_current_row,
claude-opus-4-8,Opus 4.8,DBEVAL-V0-050,50,completed,0.7314077025232404,4f04f8d0-c7b7-4d72-8312-6ff927dc1c7f,d0785f45-515b-4721-aa3c-d948dc5dd0f2,original_full_run_current_row,
