model,model_key,stem,id,reward,status,hud_reward,hud_status,trace_id,valid_json,pdb_answer,answer_chars,subscores_json,info_json
Opus 4.8,claude-opus-4-8,opus48,DBEVAL-V0-041,0.21797583081570998,scored,0.21797583081570998,completed,b1d4c503-2ac0-458d-9e6c-21c9e8e83651,True,True,33551,"{""backbone_atom_completeness"": 1.0, ""ca_lddt"": 0.21797583081570998, ""coordinate_coverage"": 1.0, ""lddt_distance_cutoff_angstrom"": 15.0, ""lddt_evaluated_contacts"": 1655, ""lddt_missing_contacts"": 0, ""lddt_reference_contacts"": 1655, ""structure_validity"": 1.0}","{""backbone_completeness"": 1.0, ""lddt_thresholds_angstrom"": [0.5, 1.0, 2.0, 4.0], ""n_pred"": 85, ""n_true"": 85, ""overlap"": 85, ""structure_format"": ""pdb"", ""validity"": 1.0}"
Opus 4.8,claude-opus-4-8,opus48,DBEVAL-V0-042,0.2748272884283247,scored,0.2748272884283247,completed,d766c5c1-8ae2-4c60-948d-6279c52e3a30,True,True,32761,"{""backbone_atom_completeness"": 1.0, ""ca_lddt"": 0.2748272884283247, ""coordinate_coverage"": 1.0, ""lddt_distance_cutoff_angstrom"": 15.0, ""lddt_evaluated_contacts"": 1158, ""lddt_missing_contacts"": 0, ""lddt_reference_contacts"": 1158, ""structure_validity"": 1.0}","{""backbone_completeness"": 1.0, ""lddt_thresholds_angstrom"": [0.5, 1.0, 2.0, 4.0], ""n_pred"": 83, ""n_true"": 83, ""overlap"": 83, ""structure_format"": ""pdb"", ""validity"": 1.0}"
Opus 4.8,claude-opus-4-8,opus48,DBEVAL-V0-043,0.0,invalid_answer,0.0,completed,b61c881c-cc7c-433e-a82b-4da9ca92b6a1,True,True,21,{},"{""reason"": ""pdb does not contain parseable CA coordinates""}"
Opus 4.8,claude-opus-4-8,opus48,DBEVAL-V0-044,0.4124860646599777,scored,0.4124860646599777,completed,99eb8f6b-27d3-4a0d-81a3-369972ba48fa,True,True,31622,"{""backbone_atom_completeness"": 1.0, ""ca_lddt"": 0.4124860646599777, ""coordinate_coverage"": 1.0, ""lddt_distance_cutoff_angstrom"": 15.0, ""lddt_evaluated_contacts"": 897, ""lddt_missing_contacts"": 0, ""lddt_reference_contacts"": 897, ""structure_validity"": 1.0}","{""backbone_completeness"": 1.0, ""lddt_thresholds_angstrom"": [0.5, 1.0, 2.0, 4.0], ""n_pred"": 80, ""n_true"": 80, ""overlap"": 80, ""structure_format"": ""pdb"", ""validity"": 1.0}"
Opus 4.8,claude-opus-4-8,opus48,DBEVAL-V0-045,0.34502262443438914,scored,0.34502262443438914,completed,fe87c6a2-ec47-49ad-bef1-92fb71f6b06c,True,True,33385,"{""backbone_atom_completeness"": 1.0, ""ca_lddt"": 0.34502262443438914, ""coordinate_coverage"": 1.0, ""lddt_distance_cutoff_angstrom"": 15.0, ""lddt_evaluated_contacts"": 1547, ""lddt_missing_contacts"": 0, ""lddt_reference_contacts"": 1547, ""structure_validity"": 1.0}","{""backbone_completeness"": 1.0, ""lddt_thresholds_angstrom"": [0.5, 1.0, 2.0, 4.0], ""n_pred"": 84, ""n_true"": 84, ""overlap"": 84, ""structure_format"": ""pdb"", ""validity"": 1.0}"
Opus 4.8,claude-opus-4-8,opus48,DBEVAL-V0-046,0.0,invalid_answer,0.0,completed,13720c1a-ffda-424b-88ae-c9e9b144b76e,True,True,21,{},"{""reason"": ""pdb does not contain parseable CA coordinates""}"
Opus 4.8,claude-opus-4-8,opus48,DBEVAL-V0-047,0.0,invalid_answer,0.0,completed,5ec43b6f-9f40-470e-bdfe-4d1028299c88,True,True,21,{},"{""reason"": ""pdb does not contain parseable CA coordinates""}"
Opus 4.8,claude-opus-4-8,opus48,DBEVAL-V0-048,0.0,invalid_answer,0.0,completed,c37c2cfb-5971-4a52-b095-d730ab6ded19,True,True,21,{},"{""reason"": ""pdb does not contain parseable CA coordinates""}"
Opus 4.8,claude-opus-4-8,opus48,DBEVAL-V0-049,0.256055900621118,scored,0.256055900621118,completed,dd4b6db1-e7be-4ce2-925e-f947d940c876,True,True,32103,"{""backbone_atom_completeness"": 1.0, ""ca_lddt"": 0.256055900621118, ""coordinate_coverage"": 1.0, ""lddt_distance_cutoff_angstrom"": 15.0, ""lddt_evaluated_contacts"": 1610, ""lddt_missing_contacts"": 0, ""lddt_reference_contacts"": 1610, ""structure_validity"": 1.0}","{""backbone_completeness"": 1.0, ""lddt_thresholds_angstrom"": [0.5, 1.0, 2.0, 4.0], ""n_pred"": 81, ""n_true"": 81, ""overlap"": 81, ""structure_format"": ""pdb"", ""validity"": 1.0}"
Opus 4.8,claude-opus-4-8,opus48,DBEVAL-V0-050,0.7314077025232404,scored,0.7314077025232404,completed,4f04f8d0-c7b7-4d72-8312-6ff927dc1c7f,True,True,32361,"{""backbone_atom_completeness"": 1.0, ""ca_lddt"": 0.7314077025232404, ""coordinate_coverage"": 1.0, ""lddt_distance_cutoff_angstrom"": 15.0, ""lddt_evaluated_contacts"": 753, ""lddt_missing_contacts"": 0, ""lddt_reference_contacts"": 753, ""structure_validity"": 1.0}","{""backbone_completeness"": 1.0, ""lddt_thresholds_angstrom"": [0.5, 1.0, 2.0, 4.0], ""n_pred"": 82, ""n_true"": 82, ""overlap"": 82, ""structure_format"": ""pdb"", ""validity"": 1.0}"
